CNAE,Descrição Receita Federal,MCC,Descrição MCC2,,,,
1413-4/02,Confecção, sob medida, de roupas profissionais,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1413-4/03,Facção de roupas profissionais,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1414-2/00,Fabricação de acessórios do vestuário, exceto para segurança e proteção,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1421-5/00,Fabricação de meias,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1422-3/00,Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias,5651,Roupas Masculinas, Femininas e Infantis,,,,
1510-6/00,Curtimento e outras preparações de couro,5948,Bolsas, malas e acessorios de couro,,,,
1521-1/00,Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,5948,Bolsas, malas e acessorios de couro,,,,
1531-9/01,Fabricação de calçados de couro,5139,Atacadistas e Distribuidores de Calçados ,,,,
1531-9/02,Acabamento de calçados de couro sob contrato,5139,Atacadistas e Distribuidores de Calçados ,,,,
1532-7/00,Fabricação de tênis de qualquer material,5139,Atacadistas e Distribuidores de Calçados ,,,,
1533-5/00,Fabricação de calçados de material sintético,5139,Atacadistas e Distribuidores de Calçados ,,,,
1539-4/00,Fabricação de calçados de materiais não especificados anteriormente,5139,Atacadistas e Distribuidores de Calçados ,,,,
1540-8/00,Fabricação de partes para calçados, de qualquer material,5139,Atacadistas e Distribuidores de Calçados ,,,,
1610-2/01,Serrarias com desdobramento de madeira,5211,Lojas de Materiais de Construção,,,,
1610-2/02,Serrarias sem desdobramento de madeira,5211,Lojas de Materiais de Construção,,,,
1621-8/00,Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
1622-6/01,Fabricação de casas de madeira pré-fabricadas,1520,Empreiteiros (Residencial e Comercial),,,,
1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
1622-6/99,Fabricação de outros artigos de carpintaria para construção,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
1629-3/01,Fabricação de artefatos diversos de madeira, exceto móveis,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
1629-3/02,Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1721-4/00,Fabricação de papel,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1722-2/00,Fabricação de cartolina e papel-cartão,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1731-1/00,Fabricação de embalagens de papel,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1741-9/01,Fabricação de formulários contínuos,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1741-9/02,Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1742-7/01,Fabricação de fraldas descartáveis,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
1742-7/02,Fabricação de absorventes higiênicos,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
1749-4/00,Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,,,,
1811-3/01,Impressão de jornais,2741,Impressões e Encadernações,,,,
1811-3/02,Impressão de livros, revistas e outras publicações periódicas,2741,Impressões e Encadernações,,,,
1812-1/00,Impressão de material de segurança,2741,Impressões e Encadernações,,,,
1813-0/01,Impressão de material para uso publicitário,2741,Impressões e Encadernações,,,,
1813-0/99,Impressão de material para outros usos,2741,Impressões e Encadernações,,,,
1821-1/00,Serviços de pré-impressão,2791,COMPOSIÇÃO TIPOGRÁFICA, GRAVAÇÃO DE CHAPAS FLEXOGRÁFICAS E SERVIÇOS RELACIONADOS     ,,,,
1822-9/00,Serviços de acabamentos gráficos,7338,Copias / Fotocopias,,,,
1822-9/01,Serviços de encadernação e plastificação,7338,Copias / Fotocopias,,,,
1822-9/99,Serviços de acabamentos gráficos, exceto encadernação e plastificação,7338,Copias / Fotocopias,,,,
1830-0/01,Reprodução de som em qualquer suporte,7299,OUTROS SERVIÇOS (NÃO CLASSIFICADOS EM OUTRA CATEGORIA)          ,,,,
1830-0/02,Reprodução de vídeo em qualquer suporte,7829,Produtores e Distribuidores de Filmes,,,,
1830-0/03,Reprodução de software em qualquer suporte,5045,Atacadistas e Distribuidores de Computadores, Equipamentos Periféricos e Softwares,,,,
1910-1/00,Coquerias,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
1921-7/00,Fabricação de produtos do refino de petróleo,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
1922-5/01,Formulação de combustíveis,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
1922-5/02,Rerrefino de óleos lubrificantes,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
1922-5/99,Fabricação de outros produtos derivados do petróleo, exceto produtos do refino,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
1931-4/00,Fabricação de álcool,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
1932-2/00,Fabricação de biocombustíveis, exceto álcool,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
2011-8/00,Fabricação de cloro e álcalis,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2012-6/00,Fabricação de intermediários para fertilizantes,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2013-4/00,Fabricação de adubos e fertilizantes,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2013-4/01,Fabricação de adubos e fertilizantes organo-minerais,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2013-4/02,Fabricação de adubos e fertilizantes, exceto organo-minerais,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2014-2/00,Fabricação de gases industriais,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2019-3/01,Elaboração de combustíveis nucleares,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2021-5/00,Fabricação de produtos petroquímicos básicos,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2022-3/00,Fabricação de intermediários para plastificantes, resinas e fibras,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2031-2/00,Fabricação de resinas termoplásticas,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2032-1/00,Fabricação de resinas termofixas,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2033-9/00,Fabricação de elastômeros,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2040-1/00,Fabricação de fibras artificiais e sintéticas,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2051-7/00,Fabricação de defensivos agrícolas,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2052-5/00,Fabricação de desinfestantes domissanitários,2842,Atacadistas e Distribuidores de Produtos Quimicos,,,,
2061-4/00,Fabricação de sabões e detergentes sintéticos,2842,Atacadistas e Distribuidores de Produtos Quimicos,,,,
2062-2/00,Fabricação de produtos de limpeza e polimento,2842,Atacadistas e Distribuidores de Produtos Quimicos,,,,
2063-1/00,Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2071-1/00,Fabricação de tintas, vernizes, esmaltes e lacas,5198,Atacadistas e Distribuidores de Tintas e Vernizes,,,,
2072-0/00,Fabricação de tintas de impressão,5198,Atacadistas e Distribuidores de Tintas e Vernizes,,,,
2073-8/00,Fabricação de impermeabilizantes, solventes e produtos afins,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2091-6/00,Fabricação de adesivos e selantes,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2092-4/01,Fabricação de pólvoras, explosivos e detonantes,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2092-4/02,Fabricação de artigos pirotécnicos,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2092-4/03,Fabricação de fósforos de segurança,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2093-2/00,Fabricação de aditivos de uso industrial,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2094-1/00,Fabricação de catalisadores,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2099-1/01,Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia,5044,EQUIPAMENTOS DE ESCRITÓRIOS, FOTOGRÁFICOS, FOTOCÓPIAS E MICROFILMAGEM. ,,,,
2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2110-6/00,Fabricação de produtos farmoquímicos,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2121-1/01,Fabricação de medicamentos alopáticos para uso humano,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2121-1/02,Fabricação de medicamentos homeopáticos para uso humano,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2122-0/00,Fabricação de medicamentos para uso veterinário,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2123-8/00,Fabricação de preparações farmacêuticas,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,,,,
2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,5013,Atacadistas e Distribuidores de Acessórios de Veículos,,,,
2212-9/00,Reforma de pneumáticos usados,7534,Borracharia,,,,
2219-6/00,Fabricação de artefatos de borracha não especificados anteriormente,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2221-8/00,Fabricação de laminados planos e tubulares de material plástico,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2222-6/00,Fabricação de embalagens de material plástico,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
2229-3/02,Fabricação de artefatos de material plástico para usos industriais,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2229-3/03,Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2311-7/00,Fabricação de vidro plano e de segurança,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2312-5/00,Fabricação de embalagens de vidro,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2319-2/00,Fabricação de artigos de vidro,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2320-6/00,Fabricação de cimento,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2330-3/01,Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2330-3/02,Fabricação de artefatos de cimento para uso na construção,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2330-3/04,Fabricação de casas pré-moldadas de concreto,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2330-3/05,Preparação de massa de concreto e argamassa para construção,1771,Colocação de Concretagem e Pavimentação,,,,
2330-3/99,Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2341-9/00,Fabricação de produtos cerâmicos refratários,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2342-7/01,Fabricação de azulejos e pisos,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2342-7/02,Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2349-4/01,Fabricação de material sanitário de cerâmica,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2349-4/99,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2391-5/01,Britamento de pedras, exceto associado à extração,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2391-5/02,Aparelhamento de pedras para construção, exceto associado à extração,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
2391-5/03,Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2392-3/00,Fabricação de cal e gesso,5039,Atacadistas e Distribuidores de Materiais de Construção,,,,
2399-1/01,Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal,7299,OUTROS SERVIÇOS (NÃO CLASSIFICADOS EM OUTRA CATEGORIA)          ,,,,
2399-1/02,Fabricação de abrasivos,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
2399-1/99,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2411-3/00,Produção de ferro-gusa,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2412-1/00,Produção de ferroligas,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2421-1/00,Produção de semi-acabados de aço,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2422-9/01,Produção de laminados planos de aço ao carbono, revestidos ou não,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2422-9/02,Produção de laminados planos de aços especiais,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2423-7/01,Produção de tubos de aço sem costura,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2423-7/02,Produção de laminados longos de aço, exceto tubos,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2424-5/01,Produção de arames de aço,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2424-5/02,Produção de relaminados, trefilados e perfilados de aço, exceto arames,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2431-8/00,Produção de tubos de aço com costura,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2439-3/00,Produção de outros tubos de ferro e aço,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2441-5/01,Produção de alumínio e suas ligas em formas primárias,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2441-5/02,Produção de laminados de alumínio,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2442-3/00,Metalurgia dos metais preciosos,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2443-1/00,Metalurgia do cobre,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2449-1/01,Produção de zinco em formas primárias,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2449-1/02,Produção de laminados de zinco,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2449-1/03,Produção de ânodos para galvanoplastia,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2449-1/99,Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2451-2/00,Fundição de ferro e aço,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2452-1/00,Fundição de metais não-ferrosos e suas ligas,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2511-0/00,Fabricação de estruturas metálicas,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2512-8/00,Fabricação de esquadrias de metal,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2513-6/00,Fabricação de obras de caldeiraria pesada,1799,Demais Serviços de Reforma e Construção Não- Classificados,,,,
2521-7/00,Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2522-5/00,Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2531-4/01,Produção de forjados de aço,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2531-4/02,Produção de forjados de metais não-ferrosos e suas ligas,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2532-2/01,Produção de artefatos estampados de metal,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2532-2/02,Metalurgia do pó,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2539-0/00,Serviços de usinagem, solda, tratamento e revestimento em metais,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2539-0/01 ,Serviços de usinagem, tornearia e solda,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2539-0/02 ,Serviços de tratamento e revestimento em metais,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2541-1/00,Fabricação de artigos de cutelaria,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2542-0/00,Fabricação de artigos de serralheria, exceto esquadrias,5072,Atacadistas e Distribuidores de Ferragens e Ferramentas,,,,
2543-8/00,Fabricação de ferramentas,5072,Atacadistas e Distribuidores de Ferragens e Ferramentas,,,,
2550-1/01,Fabricação de equipamento bélico pesado, exceto veículos militares de combate,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2550-1/02,Fabricação de armas de fogo, outras armas e munições,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2591-8/00,Fabricação de embalagens metálicas,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2592-6/01,Fabricação de produtos de trefilados de metal padronizados,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2592-6/02,Fabricação de produtos de trefilados de metal, exceto padronizados,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2593-4/00,Fabricação de artigos de metal para uso doméstico e pessoal,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2599-3/01,Serviços de confecção de armações metálicas para a construção,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2599-3/02,Serviço de corte e dobra de metais,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2599-3/99,Fabricação de outros produtos de metal não especificados anteriormente,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
2610-8/00,Fabricação de componentes eletrônicos,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2621-3/00,Fabricação de equipamentos de informática,5045,Atacadistas e Distribuidores de Computadores, Equipamentos Periféricos e Softwares,,,,
2622-1/00,Fabricação de periféricos para equipamentos de informática,5045,Atacadistas e Distribuidores de Computadores, Equipamentos Periféricos e Softwares,,,,
2631-1/00,Fabricação de equipamentos transmissores de comunicação, peças e acessórios,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2632-9/00,Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2640-0/00,Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2651-5/00,Fabricação de aparelhos e equipamentos de medida, teste e controle,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2652-3/00,Fabricação de cronômetros e relógios,5094,Atacadistas e Distribuidores de Jóias, Relógios e Pedras Preciosas,,,,
2660-4/00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,5047,Atacadistas e Distribuidores de Equipamentos Hospitalares, Médico e Oftalmico,,,,
2670-1/01,Fabricação de equipamentos e instrumentos ópticos, peças e acessórios,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2670-1/02,Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios,5044,EQUIPAMENTOS DE ESCRITÓRIOS, FOTOGRÁFICOS, FOTOCÓPIAS E MICROFILMAGEM. ,,,,
2680-9/00,Fabricação de mídias virgens, magnéticas e ópticas,5044,EQUIPAMENTOS DE ESCRITÓRIOS, FOTOGRÁFICOS, FOTOCÓPIAS E MICROFILMAGEM. ,,,,
2710-4/01,Fabricação de geradores de corrente contínua e alternada, peças e acessórios,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2710-4/02,Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2710-4/03,Fabricação de motores elétricos, peças e acessórios,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2721-0/00,Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2722-8/01,Fabricação de baterias e acumuladores para veículos automotores,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2722-8/02,Recondicionamento de baterias e acumuladores para veículos automotores,7538,Oficinas Automotivas,,,,
2731-7/00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2732-5/00,Fabricação de material elétrico para instalações em circuito de consumo,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2733-3/00,Fabricação de fios, cabos e condutores elétricos isolados,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2740-6/01,Fabricação de lâmpadas,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2740-6/02,Fabricação de luminárias e outros equipamentos de iluminação,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2751-1/00,Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2759-7/01,Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2759-7/99,Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2790-2/01,Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2790-2/02,Fabricação de equipamentos para sinalização e alarme,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2790-2/99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,5065,Atacadistas e Distribuidores de Partes Elétricas e Eletrônicas,,,,
2811-9/00,Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2812-7/00,Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2813-5/00,Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2814-3/01,Fabricação de compressores para uso industrial, peças e acessórios,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2814-3/02,Fabricação de compressores para uso não-industrial, peças e acessórios,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,,,,
2815-1/01,Fabricação de rolamentos para fins industriais,5085,Atacadistas e Distribuidores de Suprimentos Industriais,,,,
2815-1/02,Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2821-6/01,Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2821-6/02,Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2822-4/01,Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2822-4/02,Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2823-2/00,Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2824-1/01,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2824-1/02,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2825-9/00,Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2829-1/01,Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios,5044,EQUIPAMENTOS DE ESCRITÓRIOS, FOTOGRÁFICOS, FOTOCÓPIAS E MICROFILMAGEM. ,,,,
2829-1/99,Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios,5046,Atacadistas e Distribuidores de Máquinas e Equipamentos para Estabelecimentos Comerciais,,,,
2831-3/00,Fabricação de tratores agrícolas, peças e acessórios,5599,Venda de Veículos Recreativos e Maquinários,,,,
